artist,title,mood,original_mood,lyrics
Manic Street Preachers,I'm Not Working,3,sad,"Petrified for the millionth time
Slowly my soul evaporates
No parachutes, no dismal clouds
Just this fucking space

I know what's coming
I'm not working
I know what's coming
I'm not working

...

******* This Lyrics is NOT for Commercial use *******"
Bonnie Somerville,Winding Road,2,relaxed,"Well, the rain keeps on coming down
It feels like a flood in my head
And that road keeps on calling me
Screaming to everything lying ahead

And it's a winding road
I've been walking for a long time
I still don't know
Where it goes

And it's a long way home
I've been searching for a long time
I still have hope
I'm gonna find my way home

And I can see a little house
On top of the hill
And I can smell the ocean
The salt in the air

And I can see you
...

******* This Lyrics is NOT for Commercial use *******"
DIR EN GREY,VINUSHKA,0,angry,"Vinushka
Vinushka
Vinushka

雲と交わす 呼吸を止めて
嗚呼 ただ 盲目の殻
此処が底か？ 陰りに身を焼かれ
嗚呼 ただ 忘れていたい
蟻の巣へと 欲を滑らせ
さあ今 生まれ変わればいい ああ

明日を眠らせて 振り向く安らぎ
鋭く尖る 感情に身を任せて
うねる流れさえ生きてる証と
涙に耽る明日を誘う ああ

うえつくドグラ、マグラ
斑の痛みと唯一の人格
色取り取りに飾りつけられた瞳も
もういらない
また偽善が連れ去って行くのか？
独りきりの真っ赤な夜舞台
湧き上がる立役者に捧げる
此処が真実だ

誤魔化せない心の片隅には
「まだ此処に居たい」
...

******* This Lyrics is NOT for Commercial use *******"
Gary Numan,In A Dark Place,3,sad,"Something calls me
From a dark place

And so I pray every night

Something knows me
It whispers my name
And I'm losing my faith

I can feel it breathing
But it feels like something dead and cold

I can feel it waiting
But it waits for something in my soul

...

******* This Lyrics is NOT for Commercial use *******"
Mariee Sioux,Wild Eyes,2,relaxed,"Tiny darling ghost holder
Tiny darling ghost holder
You our soft spirit breather and
You our bark skinned weaver
Remember you could weep fire
Remember you could weep fire with wild eyes
With wild eyes, oh those wild eyes

If you ring your cells like bells in a garden that
You plant your burdens way deep down in
And water them daily from wells of salty
Guilt for sons who pollinate the deadly
That wild eye, oh that wild eye

Papa my pine whistler sparrow-eyed sun misser
Papa my pine whistler sparrow-eyed moon blisser
Mama my jaw clincher spirit mouthed ghost dancer
Mama my vein braider thousand year bone burner
Mama my tongue twister thousand pronged antlers
Mama my tongue twister thousand pronged antlers
Mama my vein braider thousand pronged antlers, antlers
And oh her wild eyes, oh her wild eyes

...

******* This Lyrics is NOT for Commercial use *******"
K's Choice,Another Year,3,sad,"I wish you could adore
The way you did before
Now you're living through another year
Oh, the light you were
Will soon become a blur
As you're living through another year
Oh, what a waste of time it is
To indulge inside of bliss
Getting ready for another year like this
Another year to lie
Another year goes by
...

******* This Lyrics is NOT for Commercial use *******"
Maximilian Hecker,Kate Moss,3,sad,"Kate Moss

Seven days and not one glance from her
Seven days are thousend years
Seven days and not one word of her
...

******* This Lyrics is NOT for Commercial use *******"
White Town,Your Woman,1,happy,"Just tell me what you've got to say to me
I've been waiting for so long to hear the truth
It comes as no surprise at all you see
So cut the crap and tell me that we're through
Now, I know your heart, I know your mind
You don't even know you're being unkind
So much for all your highbrow Marxist ways
Just use me up and then you walk away
Boy, you can't play me that way

Well, I guess what you say is true
I could never be the right kind of girl for you

I could never be your woman
...

******* This Lyrics is NOT for Commercial use *******"
Dntel,(This Is) The Dream of Evan and Chan,2,relaxed,"It was familiar to me, the smoke too thick to breathe.
The tile floors glistened; I slowly stirred my drink.
And when you started to sing, you spoke with broken speech
That I could not understand, and then you grabbed me tightly.
...

******* This Lyrics is NOT for Commercial use *******"
Manchester Orchestra,Shake It Out,0,angry,"Shake it out, shake it out
God, I need another and another and another and another
I could feel it now
How I felt the Lord in my father's house

And I can see, I can see
Standing, we were seventeen, make it clean
Are you the living ghost of what I need?
Are you getting the best of me?
We will see

'Cause I'm done being done with a funeral
At least for now
Are you tired of being alone?
Are you tired of being alone?

Shake it out, shake it out
Tired of another and another wasn't really what I wanted
So we bled it out
...

******* This Lyrics is NOT for Commercial use *******"
Jay-Z,Success,0,angry,"""Your success took a shot at you, what are you going to do now?
How are you gonna kill it? You're gonna become unsuccessful?
Frank, you can be successful and have enemies, uh?
Be unsuccessful too, and even have friends""

I got these niggas, Breezy, don't worry about it
Let that bitch breathe!

I used to give a fuck, now I give a fuck less
What do I think of success? It sucks, too much stress
I guess I blew up quick
'Cause friends I grew up with
See me as a premie, but I'm not, and my nuts big
I don't know what the fuss is, my career is illustrious
My rep is impeccable; I'm not to be fucked with, with
Shit, let that bitch breathe!

I'm way too important to be talking about extorting
Asking me for a portion's like asking for a coffin
Broad daylight I'll off your on-switch
You're not too bright, goodnight, long kiss
Bye bye, my reply, ""Blah, blah""
Blast burner, then pass burner to Ty-Ty
Finish my breakfast, why?
I got an appetite for destruction and you're a small fry
...

******* This Lyrics is NOT for Commercial use *******"
Wilco,What Light,2,relaxed,"If you feel like singing a song
And you want other people to sing along
Then just sing what you feel
Don't let anyone say it's wrong

And if you're trying to paint a picture
But you're not sure which colors belong
Just paint what you see
Don't let anyone say it's wrong

And if you're strung out like a kite
Or stung awake in the night
It's alright to be frightened

When there's a light, what light
When there's a light, what light
There's a light, white light
Inside of you
...

******* This Lyrics is NOT for Commercial use *******"
Squeeze,Hourglass,1,happy,"I feel like I'm pounding on a big door
No one can hear me knocking
I feel like I'm falling flat to the floor
No one can catch me from falling

The hourglass has no more grains of sand
My watch has stopped, no more turning hands
The crew have abandoned the ship
The lights are on but no one is in

Take it to the bridge, throw it overboard
See if it can swim, back up to the shore
No one's in the house, everyone is out
All the lights are on and the blinds are down

Take it to the bridge, throw it overboard
See if it can swim, back up to the shore
No one's in the house, everyone is out
All the lights are on and the blinds are down

I feel like I'm calling on a telephone
No one can hear the ringing
I feel like I'm running up a steep hill
No one can stop me from running
...

******* This Lyrics is NOT for Commercial use *******"
Nine Inch Nails,March Of The Pigs,0,angry,"Step right up march push
Crawl right up on your knees
Please greed feed (no time to hesitate)
I want a little bit I want a piece of it I think he's losing it
I want to watch it come down
Don't like the look of it, don't like
The taste of it, don't like the smell of it
I want to watch it come down

All the pigs are all lined up
...

******* This Lyrics is NOT for Commercial use *******"
Refused,The Deadly Rhythm,0,angry,"(""We got more coming, right now. There's more coming.
We're gonna get, gonna get a little sort of a session going here.
A bit of a session, a sessions that will feature the rhythm section."")

This union that made us powerless is talking over our heads
Claiming prosperity in a downward spiral plan

Stuck by the deadly rhythm of the production line
Stuck by the deadly rhythm of the production line

...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Can't Stand You,0,angry,"Can't stand the way you look
Can't stand the way you talk
Can't stand the way you act
Can't stand you

Do I think you're a dick? Yeah!
Do I think you're a fuck? Yeah!
Do I think we'll fight? Yeah!
Do I think you'll win? No!

Do I think you're stupid? Yeah!
Do I think you're lame? Yeah!
Am I stressing?
You're the one to blame

Can't stand the way you look
Can't stand the way you talk
...

******* This Lyrics is NOT for Commercial use *******"
Sing It Loud,No One Can Touch Us (Featuring Alex Gaskarth),1,happy,"We're getting higher every time that we love
A little closer to the things we fall back on
If you come over, then together, willing
We'll take over the world

You call me closer
I said, ""Maybe, yeah,""
But I'm proven wrong
By all the things we talk about
The summer air is here
So get your dress on
And dance around like no one cares

Come on, come on, come on
You know you've gotta
Come on, come on, come on and celebrate
'Cause we are together, made for each other
We can stand alone
And now no one can touch us
...

******* This Lyrics is NOT for Commercial use *******"
Bauhaus,The Three Shadows Part 2,3,sad,"Oh classic gentlemen
Say your prayers
To the wind of prostitution
To your faces and Rex complexes
Riddle my breast
Full of the oppressed puss

Oh gentlemen, with your fish
...

******* This Lyrics is NOT for Commercial use *******"
Blink-182,Man Overboard,1,happy,"So sorry it's over, so sorry it's over
There's so much more that I wanted and (so sorry it's over)
There's so much more that I needed and
Time keeps moving on and on and on (so sorry it's over)
Soon we'll all be gone

Let's take some time to talk this over
You're out of line and rarely sober
We can't depend on your excuses
'Cause in the end, it's fucking useless

You can only lean on me for so long
...

******* This Lyrics is NOT for Commercial use *******"
Alan Jackson,Here In The Real World,3,sad,"Cowboys don't cry, and heroes don't die
Good always wins, again and again
And love is a sweet dream that always comes true
Oh, if life were like the movies, I'd never be blue

But here in the real world, it's not that easy at all
'Cause when hearts get broken, it's real tears that fall
And darlin' it's sad but true
But the one thing I've learned from you
...

******* This Lyrics is NOT for Commercial use *******"
George Michael,Freeek! '04,1,happy,"You got yourself some action
Said you got yourself a body
You got yourself an ass with a mind of its own
Brings something to the party

You got yourself addicted
You shoot up, it saves you time
You got yourself a pay cheque
Faces in the places where the sun don't shine

I'll be your sexual freak (freak), of the week
I'll be your inspirational brother (sister), yo momma can't you see
I'll be your sexual freak of the week (Ohh touch it)
I'll be your educational lover, your one fk fantasy

Can I come on in, my sweet baby, can I move on in
...

******* This Lyrics is NOT for Commercial use *******"
Jennifer Lopez,I'm Real,1,happy,"Uh, what?
Uh, uh, uh
Let's go

Called you on the phone, said I'm coming through
Hope you're all alone, 'cause I got plans for you
We could stay at home or dance and hand all night
As long as I'm with you, doesn't matter what we do

Don't ask me where I've been
Or what I'm gonna do, just know that I'm here with you
Don't try to understand
Baby, there's no mystery, 'cause you know how I am

I'm real (real)
What you get is what you see (yeah)
What you tryna to do to me?
You wanna say you're mine
Be with me all the time (with me all the time)
You're falling so in love (oh, yeah)
Say you just can't get enough
You're telling all your friends
(She's a bad, bad bitch)

Woo!
Oh, come on
Huh!
In the pocket, yeah

You like the way I dress, the way I wear my hair
Show me off to all your friends, and baby, I don't care
Just as long as you tell them who I am
Tell them I'm the one that made you give a damn

Don't ask me where I've been
Or what I'm gonna do, just know that I'm here with you
Don't try to understand
Baby, there's no mystery 'cause you know how I am
...

******* This Lyrics is NOT for Commercial use *******"
Venom,Black Metal,0,angry,"Black is the night, metal we fight
Power amps set to explode
Energy screams, magic and dreams
Satan records their first note

We chime the bell, chaos and Hell
Metal for maniacs pure
Faster than steel, fortune on wheels
Brain hemorrhage is the cure

For black metal
Black metal
Black metal
Black metal
Black metal

Lay down your soul to the gods rock and roll

Freaking so wild, nobody's mild
Giving it all that you got
Wild is so right, metal tonight
Faster than over the top
...

******* This Lyrics is NOT for Commercial use *******"
Shpongle,Once Upon the Sea of Blissful Awareness,2,relaxed,"Waves of the soft spring wind
Waves of the soft spring wind
Love's flood tide is rising full
The moon of love is rising full

Sea of beauty
The moon of love is rising full
Love's flood tide

Some laugh, some, weep some, dance for joy
Some laugh, some, weep some, dance for joy
...

******* This Lyrics is NOT for Commercial use *******"
Elbow,little beast,3,sad,"The whole town's dripping down a hill
Like the spine of something dead
Slide in shadow cobble-creep
Burn your mark and leave

The trench conventions yellow eyes
...

******* This Lyrics is NOT for Commercial use *******"
Soulfly,Back to the Primitive,0,angry,"Um, dois, três, quatro

Back to the primitive
Fuck all your politics
We got our life to live
The way we want to be

Back to the primitive
Fuck all your politics
Who feels it, knows it
And God will guide me

Back to the primitive
Fuck all your bullshit
We're back to set it free
Confronting the negative

Back to the primitive
Fuck all your wannabes
You don't mean shit to me
Let it bleed

...

******* This Lyrics is NOT for Commercial use *******"
AFI,Silver And Cold,3,sad,"I, I came here by day, but I left here in darkness
And found you, found you on the way
Now, it is silver and silent, it is silver and cold
You, in somber resplendence, I hold

Your sins into me
Oh, my beautiful one
Your sins into me, oh
As a rapturous voice escapes, I will tremble a prayer
And I'll beg for forgiveness
Your sins into me (your sins into me)
Oh, my beautiful one

Light, like the flutter of wings
Feel your hollow voice rushing into me
As you're longing to sing
So I, I will paint you in silver, I will wrap you in cold
...

******* This Lyrics is NOT for Commercial use *******"
Emma Shapplin,Favola Breve,2,relaxed,"Son io di llui
Benché la vita vergogne se de mi
Or veggio
In tempo
Ch'i' sono
Ch'i' sono
Son io di llui...

Ben ti prego
Ben ti prego
Spirto van che piangendo vai
Spirto van che cantando sai
...

******* This Lyrics is NOT for Commercial use *******"
Ben Folds,Rockin' The Suburbs,1,happy,"Let me tell y'all what it's like
Being male, middle-class, and white
It's a bitch, if you don't believe
Listen up to my new CD, sha-mon

I got shit runnin' through my brain
So intense, that I can't explain
All alone in my white-boy pain
Shake your booty while the band complains

I'm rockin' the suburbs, just like Michael Jackson did
I'm rockin' the suburbs, except that he was talented
I'm rockin' the suburbs, I take the checks, and face the facts
That some producer with computers fixes all my shitty tracks

I'm pissed off, but I'm too polite
When people break in the McDonald's line
Mom and dad, you made me so uptight
I'm gonna cuss on the mic tonight

...

******* This Lyrics is NOT for Commercial use *******"
Rage Against the Machine,Settle for Nothing,0,angry,"A jail cell is freedom from the pain in my home
Hatred passed on, passed on and passed on
A world of violent rage but it's one that I can recognise
Having never seen the colour of my father's eyes

Yes, I dwell in hell, but it's a hell that I can grip
I tried to grip my family but I slipped
To escape from the pain in an existence mundane
I gotta nine, a sign, a set and now I gotta name

Read my writing on the wall
No one's here to catch me when I fall
Death is on my side
Suicide

A jail cell is freedom from the pain in my home
Hatred passed on, passed on and passed on
A world of violent rage but it's one that I can recognise
...

******* This Lyrics is NOT for Commercial use *******"
Megadeth,The Killing Road,0,angry,"Again we stalk the stage
At mach speed, we engage
Feeding people's rage
The big cat's left its cage

Back in the bus again
To catch another plane
This behavior's quite insane
But we do it for the fame

Lost my mind
I lost all my money
I lost my life to the killing road

I lost my mind
I lost all my money
I lost my life to the killing road
...

******* This Lyrics is NOT for Commercial use *******"
The Helio Sequence,Back To This,2,relaxed,"we were giving up time
we were giving on back on all that's left to do
sometimes you'll have to do
sometimes there's nothing left to say

we were giving up time
we were giving up ties and everyone knew it too
rope busted and disgusted
and all we knew we cared

but it always, comes back to this
yes it always, comes back to this again
...

******* This Lyrics is NOT for Commercial use *******"
The Fall,War,0,angry,"Tell of the birth
Tell how war appeared on earth

Musicians with gongs
Permeate the autobahns
She split the egg
Fetus of disgusting breath

And she split the world
Cast a spell and war was born

Come follow me
Out of the obscurity
...

******* This Lyrics is NOT for Commercial use *******"
The Beatles,Twist and Shout,1,happy,"Well, shake it up, baby, now (shake it up, baby)
Twist and shout (twist and shout)
Come on, come on, come, come on, baby, now (come on, baby)
Come on and work it on out (work it on out)
Well, work it on out, honey (work it on out)
You know you look so good (look so good)
You know you got me goin' now (got me goin' now)
Just like I knew you would (like I knew you would)

Well, shake it up, baby, now (shake it up, baby)
Twist and shout (twist and shout)
...

******* This Lyrics is NOT for Commercial use *******"
Siobhan Donaghy,So You Say,3,sad,"So you say we should just be friends Adam
But I know when I get the bends
That I'll hate you so

So you say we should drift apart Adam
But I know that'll break my heart
And I'll hate you so
'Cause I loved you so

So you say I can be afraid
But I know I would have strayed
I sit and miss you so
A batch of alcohol ceases to control

Don't say you'll think about me
Or say that you can live without me
Didn't we make it nearly
...

******* This Lyrics is NOT for Commercial use *******"
The Tokens,The Lion Sleeps Tonight,1,happy,"Weeheeheehee dee heeheeheehee weeoh aweem away
Weeheeheehee dee heeheeheehee weeoh aweem away

(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)

In the jungle, the mighty jungle
The lion sleeps tonight
In the jungle the quiet jungle
The lion sleeps tonight

Weeheeheehee dee heeheeheehee weeoh aweem away
Weeheeheehee dee heeheeheehee weeoh aweem away
...

******* This Lyrics is NOT for Commercial use *******"
The Beatles,Octopus's Garden,1,happy,"I'd like to be under the sea
In an octopus's garden in the shade
He'd let us in, knows where we've been
In his octopus's garden in the shade

I'd ask my friends to come and see
An octopus's garden with me

I'd like to be under the sea
In an octopus's garden in the shade

...

******* This Lyrics is NOT for Commercial use *******"
Adele,Melt My Heart To Stone,2,relaxed,"Right under my feet is air made of bricks
That pulls me down, turns me weak for you
I find myself repeating like a broken tune
And I'm forever excusing your intentions
Then, I give in to my pretendings
Which forgive you each time
Without me knowing
They melt my heart to stone

And I hear your words that I made up
You say my name like there could be an us
I best tidy up my head, I'm the only one in love
...

******* This Lyrics is NOT for Commercial use *******"
Marvin Gaye,What's Happening Brother,2,relaxed,"Hey baby, what you know good
I'm just gettin' back, but you knew I would
War is hell, when will it end?
When will people start gettin' together again?
Are things really gettin' better, like the newspaper said
What else is new my friend, besides what I read

Can't find no work, can't find no job, my friend
Money is tighter than, it's ever been
Say man, I just don't understand
...

******* This Lyrics is NOT for Commercial use *******"
Martina McBride,Wrong Again,3,sad,"From the day we met
You made me forget... all my fears

Knew just what to say
And you kissed away... all my tears

I knew this time
I had finally found
Someone to build my life around
Be a lover and a friend

After all my heart had put me through
I knew that it was safe with you
...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Beauty Through Order,0,angry,"It's the feel of your blood, as it flows smoothly down my skin
Intoxicating my soul, immortality, seducing me
Burning in your own Hell, which now binds you to me infinitely
Spirits of angels don't weep for you enticing me

Vanity, blood left for you to drink
Eternity waits for you
Vanity, blood left for you to drink
Eternity waits for you to drink

Frozen in time is the ice flowing in your veins, are you insane?
At your mercy they suffered while you sat there painless, vile and shameless
Crowned you are now for the merciless sins, it's the end
Your beauty through order is where blood flows through you, where it begins

Vanity, blood left for you to drink
Eternity waits for you
Vanity, blood left for you to drink
Eternity waits for you to drink
...

******* This Lyrics is NOT for Commercial use *******"
Mortiis,Everyone Leaves,3,sad,"I'm going back, thinking about all the changes
I'm going back to all those wasted years
I see the rise and fall of the world I lived in
This time it doesn't seem real at all
But I took the fall and on came all the changes
All I had could not be saved, it was far too late

Everyone leaves in the end
Everything dies in the end
It doesn't matter how hard you hold on
Everyone leaves in the end

I'm going back to the times you went away
I thought you thought that I was that monster
I see the rise and fall of the world that I made
I always wanted to take you with me
And then I saw some people
For the people that I thought they were
In your painful absence

Everyone leaves in the end
...

******* This Lyrics is NOT for Commercial use *******"
Neko Case,The Tigers Have Spoken,3,sad,"They shot the tiger on his chain
In a field behind the cages
He walked in circles 'til he was crazy
And he lived that way forever
And he lived that way beside them,
Separate from the other tigers
He did not know another tiger

They shot the tiger on his chain
...

******* This Lyrics is NOT for Commercial use *******"
Monkey,Pigsy In Space,2,relaxed,"Pigsy:

悟空太热了
WU KONG TAI RE LE
Monkey it's too hot
我受不了了
WO SHOU BU LIAO LE
I can't stand it
热死
...

******* This Lyrics is NOT for Commercial use *******"
L7,Shitlist,0,angry,"When I get mad and I get pissed
I grab my pen and I write out a list
Of all the people that won't be missed
You've made my shitlist

For all the ones who bum me out (shitlist)
For all the ones who fill my head with doubt (shitlist)
For all the squares who get me pissed (shitlist)
...

******* This Lyrics is NOT for Commercial use *******"
Bruce Springsteen,Hungry Heart,1,happy,"Yeah
Come on

Got a wife and kids in Baltimore, Jack
I went out for a ride and I never went back
Like a river that don't know where it's flowin'
I took a wrong turn and I just kept goin'

Everybody's got a hungry heart
Everybody's got a hungry heart
Lay down your money and you play your part
Everybody's got a hungry heart
Oh-oh

I met her in a Kingstown bar
We fell in love, I knew it had to end
...

******* This Lyrics is NOT for Commercial use *******"
Burzum,En Ring Til Aa Herske,3,sad,"I en mørk skog med kalde tjern
Et sted hvor Herren av verdens
Ild ikke rekker
I det mørkeste i den store
Av natten - av tid
Og de samlet seg
Og blev dødens hus
Barn av tidens krefter
...

******* This Lyrics is NOT for Commercial use *******"
Deathstars,Synthetic generation,3,sad,"I play hell you play heaven, I'm death's own little star...
Can you trace the sins that haunt you
And play the Devils cards as I do

I am all that you see
I am all that you want me to be

I am God for the Antichrist
I'm blessed, yet damned
I'm fallen, yet resurrected
I am all of nothing

I play death, you play alive, triple sixes to rise...
Can you see the visions I brought you
And the devilish games that I taught you
...

******* This Lyrics is NOT for Commercial use *******"
Nerf Herder,Jenna Bush Army,1,happy,"There's a new leader in the land
With a platform that I understand
I saw her face in the magazine
She looks hot in her tight jeans

Keep marching on
A solider of love
Jenna Bush army
(You can't stop her)
Jenna Bush army

She's got the brains and the looks that kill
Want to see her butt on a ten dollar bill
Ready your vote for her ballot box
You've got to admit it, she's a fox

...

******* This Lyrics is NOT for Commercial use *******"
Falco,Vienna Calling,1,happy,"Hello, Vienna calling
Hello, hello, Vienna calling
Hello, he-he-he-hello, Vienna calling

Hello, oho, Vienna calling
Hello, oho, Vienna calling

Talking about
Stella sitzt in Rio, Stella liegt in Tokyo
Männer fragen sie nach Feuer, nach dem andern sowieso
(Hello, hello)
Sugar Chris hat dich sehr vermisst
Dein Bein und dein Gesicht
Du kannst auf mich verzichten, nur auf Luxus nicht
Womit spielen kleine Mädchen heute
Hier und dort und da?
Ob in Tucson, Arizona, Toronto, Canada (hello)

Wien, nur Wien du kennst mich up, kennst mich down
Du kennst mich
Nur Wien, nur Wien, du nur allein
Wohin sind deine Frau'n?

Ohoho, operator (so alone am I)
...

******* This Lyrics is NOT for Commercial use *******"
Atmosphere,The Keys to Life vs. 15 Minutes of Fame,0,angry,"[Pilot over PA]
""Folks I know you're all dying to know how long--
I cannot answer that now. We're gonna have to have a maintenance technician come over
and take a look at it and uh once that's done, then we'll give you an estimate
I'd say it's probably at least uh 15 minutes or so.""

It's like all of Franklin Avenue now sleeps upon my chest--my chest
I've used cigarette butts and loose leaf to build my nest--build my nest
Did I mention I appreciate the way you treat your guests?--guess not
But I'm not really convinced when you say that you're impressed--hell no
The line between MC and comedian gets a little thinner--little thinner
Now it's nothing but roughage for lunch and punchlines for dinner--feed me
I've tried to open the blinds to let in some sunshine
Wound the watch 'til it broke all in hopes of stopping the time

The key broke off in the ignition how often have I wandered off through my thoughts wishing
Hoping this could be for you what it is for me patiently I stay busy, I wait, I see
The key broke off in the ignition how often have I wandered off through my thoughts wishing
...

******* This Lyrics is NOT for Commercial use *******"
Germs,Forming,0,angry,"Chorus:
Rip them down
Hold them up
Tell them that
I'm your gun
Pull my trigger
I'm bigger than--

Mr. Prez in his big white house
Listen he sez we're coming out
Infiltration-- we're numbing your minds
Concentration-- we've done time

Chorus

Over there the queen she sez
Let's stamp them out and dry those tears
Saturation-- we want it in taxes
Flagellation-- we've got gashes

Chorus

In the cold, the czar's claimin
Just protectin rockets aimin
...

******* This Lyrics is NOT for Commercial use *******"
The Ditty Bops,Waking Up In the City,1,happy,"Waking up in th' city, what are we gonna do?
Take a picnic to the park, sing songs about the moon?
I will bring a Frisbee. I will bring the dog
We'll frolic in the pesticided grass beneath the smog

Don't gotta worry 'bout bee stings, don't gotta worry 'bout ants
Now's the time to take off our shoes and dance that cartoon dance

In the afternoon time, we will stroll downtown
Past messengers on bicycles and men dressed up in gowns
...

******* This Lyrics is NOT for Commercial use *******"
Stephen Lynch,Gay,1,happy,"Here we are, dear old friend
You and I drunk again
Laughs have been had, and tears have been shed
Maybe the whiskey's gone to my head

But if I were gay, I would give you my heart
And if I were gay, you'd be my work of art
And if I were gay, we would swim in romance
...

******* This Lyrics is NOT for Commercial use *******"
Katatonia,Criminals,3,sad,"The way the light hits the road
The way I am unable to protect you
Oh, I'm running away
I will never forgive myself
For running away from you

He came back to your house
I didn't take it as a promise
Always thought it was a lie
He went too far, the fucker
It's not like I owe him money
This is different

So gather your strength and break free
Or you will surely die
So gather your strength, don't follow me
'Cause I will surely die
...

******* This Lyrics is NOT for Commercial use *******"
Bruce Springsteen,State Trooper,3,sad,"New Jersey Turnpike
Ridin' on a wet night
'Neath the refinery's glow
Out where the great black rivers flow
License, registration
I ain't got none
But I got a clear conscience
'Bout the things that I done

Mister state trooper
Please don't stop me
Please don't stop me
Please don't stop me
...

******* This Lyrics is NOT for Commercial use *******"
Holly Brook,Saturdays,2,relaxed,"Saturday what a day what a silly little day
Time to kill take a pill as I sit and contemplate
How I'd like to be around all the people in the town with their fancy cars and things
But I've got time

Stop pushin' all your tragedies away
Each moment has got a lesson for the day
Take something with you if you drag your heels in yesterdays
Oh these Saturdays

In the haste in the grace I've been up to my waist
...

******* This Lyrics is NOT for Commercial use *******"
Bright Eyes,A Perfect Sonnet,3,sad,"Lately I've been wishing I had one desire
Something that would make me never want another
Something that would make it so that nothing matters
All would be clear then

But I guess I'll have to settle for a for a few brief moments
And watch it all dissolve into a single second
And try to write it down into a perfect sonnet
Or one foolish line

Cause that's all that you'll get
So you'll have to accept
You are here and then you're gone

But I believe that lovers should be tied together and
Thrown into the ocean in the worst of weather
And left there to drown
Left there to drown in their innocence

...

******* This Lyrics is NOT for Commercial use *******"
Inner Circle,Sweat ,1,happy,"I've been watching you
A la la la la long
A la la la la long long li long long long

Come on!
A la la la la long
A la la la la long long li long long long

Standing across the room, I saw you smile
I said I want to talk to you for a little while
But before I make my move, my emotions start running wild
My tongue gets tied, and that's no lie

I'm looking in your eyes
I'm looking in your big brown eyes
Oh, yeah
And I've got this to say to you

Girl, I want to make you sweat
Sweat 'til you can't sweat no more
And if you cry out
I'm gonna push it some more
Girl, I want to make you sweat
Sweat 'til you can't sweat no more
And if you cry out
I'm gonna push it push it, push it some more

A la la la la long
A la la la la long long li long long long
Come on!
A la la la la long
...

******* This Lyrics is NOT for Commercial use *******"
Lucie Silvas,Nothing Else Matters,3,sad,"So close no matter how far
Couldn't be much more from the heart
Forever trusting who we are
'Cause nothing else matters

Never opened myself this way
Life is ours, we do it our way
All these words I just don't say
'Cause nothing else matters

Never cared for what they do, no
...

******* This Lyrics is NOT for Commercial use *******"
Republika,Odchodząc,3,sad,"A więc stało się i odchodzisz
Tu są Twoje książki i płyty
Możesz zabrać co chcesz
Najlepiej zabierz mnie

Jestem lżejszy od fotografii
Z których będziesz mnie teraz wycinać
Będę milczał i tak jestem martwy

Odchodząc zabierz mnie
Odchodząc zabierz mnie
...

******* This Lyrics is NOT for Commercial use *******"
Ella Fitzgerald,Remember,2,relaxed,"One little kiss, a moment of bliss, then hours of deep regret
One little smile, and after a while, a longing to forget
One little heartache left as a token
One little plaything carelessly broken

Remember the night
The night you said, ""I love you""
Remember?

...

******* This Lyrics is NOT for Commercial use *******"
The Stooges,Search and Destroy,0,angry,"Im a street walking cheetah with a heart full of napalm
Im a runaway son of the nuclear a-bomb
I am a worlds forgotten boy
The one who searches and destroys

Honey gotta help me please
Somebody gotta save my soul
Baby detonate for me
...

******* This Lyrics is NOT for Commercial use *******"
Boards of Canada,Aquarius,2,relaxed,"Yeah, that's right
Orange
Orange
Yeah, that's right
Orange
Orange
Orange
Orange
Yeah, that's right
Orange
...

******* This Lyrics is NOT for Commercial use *******"
Metallica,Phantom Lord,0,angry,"Sound is ripping through your ears
The deafening sound of metal nears

Your bodies waiting for his whips
The taste of leather on your lips

Hear the cry of War
Louder than before
With his sword in hand to control the land

Crushing metal strikes on this frightening night
Fall onto your knees
For the Phantom Lord

Victims falling under chains
...

******* This Lyrics is NOT for Commercial use *******"
Doug Stone,I'd Be Better Off (In A Pine Box),3,sad,"I said, ""The night you left me
Nothin' worse could ever happen
Seeing you with someone else proved that I was wrong
And when your eyes met mine
I knew that you were gone forever
Along with all the reasons, I had for hanging on""

I'd be better off in a pine box
On a slow train back to Georgia
Or in the grey walls of a prison doing time
I think I'd rather die
And go to hell and face the devil
...

******* This Lyrics is NOT for Commercial use *******"
Flobots,Handlebars,0,angry,"I can ride my bike with no handlebars
No handlebars
No handlebars
I can ride my bike with no handlebars
No handlebars
No handlebars

Look at me, look at me
Hands in the air like it's good to be
Alive, and I'm a famous rapper
Even when the paths are all crookedy
I can show you how to do-si-do
I can show you how to scratch a record
I can take apart the remote control
And I can almost put it back together

I can tie a knot in a cherry stem
I can tell you about Leif Ericson
I know all the words to ""De Colores""
And I'm proud to be an American
Me and my friend saw a platypus
Me and my friend made a comic book
And guess how long it took?
I can do anything that I want, 'cause, look

I can keep rhythm with no metronome
No metronome
No metronome
And I can see your face on the telephone
On the telephone
On the telephone
...

******* This Lyrics is NOT for Commercial use *******"
