artist,title,mood,original_mood,lyrics,word_count,avg_word_length
Joni Mitchell,Shine,2,relaxed,"You cant take my shine
no you cant take my shine
you couldnt knock me down if you tried
no no no no you cant take my shine
Its been a month since I decided to leave home
stuck in a dream now like a sword in a stump
never cared a bit about proving nobody wrong
just trying to make music leave the proof to the song
saying I cant do it is motivation I keep moving
break a ruins doing it better without the constant pressure leaving bruises
you loosing it
Im cruising 90 in the whip
when you back home working weekends
thirsty for tips yeah
you just mad I love what I do
that I live what I do
and Ill die for it too like straight to the grave
baby going and I aint stoping
You can throw shade on me but
you cant take my shine
",152,3.7565789473684212
Simply Red,Ev'ry Time We Say Goodbye,3,sad,"Every time we say goodbye
I die a little
Every time we say goodbye
I wonder why a little

Why the Gods above me
Who must be in the know
Think so little of me
They allow you to go

",40,3.45
The Cure,Three Imaginary Boys,3,sad,"Walk across the garden in the footsteps of my shadow
See the lights out no ones home
In amongst the statues stare at nothing in the garden moves
Can you help me

Close my eyes and hold so tightly
Scared of what the morning brings
Waiting for tomorrow never comes
Deep inside the empty feeling
All the nighttime leaves me
Three imaginary boys
",63,4.412698412698413
Judas Priest,Angel,3,sad,"Angel put sad wings around me now
Protect me from this world of sin so that we can rise again
Oh Angel we can find our way somehow
Escaping from the world were in to a place where we began
And I know well find a better place and piece of mind
Just tell me that its all you want for you and me
Angel wont you set me free

",70,3.5714285714285716
Jill Scott,Show Me,2,relaxed,"Show Me

If I ask you to trust me on all things
Could you do it
If I needed you to map your position
Would you try it

Constantly talkin bout how much
You love me want me need me
You told me stop talkin
No more conversation necessary

Show me
",51,3.7058823529411766
Zeromancer,Doctor Online,0,angry,"Everbody is online

Its the beginning of the end
You want things to go faster
Its the beginning of the end
Now everythings too slow for you

Its the beginning of the end
You are one step closer
Its the beginning of the end
Say Amen

1800suicide
Or maybe Doctor Online could help you die
You need wings to fly you need someone
To take your place when you are gone

Its the beginning of the end
You know nothing lasts forever
",82,4.121951219512195
Pixies,Something Against You,0,angry,"Here it comes
Ive got something against you
Ive got something against you

",13,4.6923076923076925
Devo,Whip It,1,happy,"Crack that whip give the past a slip
Step on a crack break your mamas back

When a problem comes along you must whip it
Before the cream sets out too long you must whip it
When somethings going wrong you must whip it

Now whip it into shape
Shape it up get straight
Go forward move ahead
Try to detect it its not too late
To whip it whip it good
",72,3.7777777777777777
Killswitch Engage,Reckoning,0,angry,"You are no god to me
You are nothing to me
This is a reckoning

Enjoy this while it lasts
It wont be long before it dies
Youve stolen lies and broken dreams
No man can be a deity

You are no god to me
This is a reckoning
You are nothing to me
This is a reckoning

",58,3.5
The Waterboys,Red Army Blues,3,sad,"When I left my home and my family
my mother said to me
Son its not how many Germans you kill that counts
Its how many people you set free

So I packed my bags
brushed my cap
Walked out into the world
seventeen years old
Never kissed a girl

Took the train to Voronezh
that was as far as it would go
Changed my sacks for a uniform
bit my lip against the snow
I prayed for mother Russia
in the summer of 43
And as we drove the Germans back
I really believed
",95,3.778947368421053
Black Sabbath,War Pigs,0,angry,"Generals gathered in their masses
Just like witches at black masses
Evil minds that plot destruction
Sorcerer of deaths construction

In the fields the bodies burning
As the war machine keeps turning
Death and hatred to mankind
Poisoning their brainwashed minds
Oh lord yeah
",44,5.2272727272727275
At the Gates,Slaughter Of The Soul,0,angry,"Go

Never again
On your forcefed illusions to choke
You feed off my pain

Feed off my life
There wont be another dawn
We will reap as we have sown

Always the same
My tired eyes have seen enough
Of all of your lies

",44,3.8181818181818183
The Proclaimers,Letter From America,2,relaxed,"When you go will you send back
A letter from America
Take a look up the railtrack
From Miami to Canada well

Broke off from my work the other day
Spent the evening thinking about all the blood that flowed away
Across the ocean to the second chance
I wonder how it got on when it reached the promised land

When you go will you send back
A letter from America
Take a look up the railtrack
From Miami to Canada

Ive looked at the ocean tried hard to imagine
The way you felt the day you sailed
",98,3.989795918367347
"""Weird Al"" Yankovic",Cable TV,1,happy,"I used to think my life was so empty
I used to think life was passin me by
Well I was just about ready
To curl up and die

But then one day I got a visit
From the cable company
Well they hooked me up and plugged me right in
And now I got cable TV

And now I get to watch the stock report in Korean
Midget wrestling on Channel Three
It costs me 50 bucks a month just to see em
Yeah but thats all right with me

I got cable TV cable TV
A cable TV cable TV
Oh 83 channels of ecstasy
I love my cable TV yeah
I love my cable TV

I got the Siamese Faith Healers Network
",125,3.48
blink-182,Aliens Exist,1,happy,"Hey mom theres something in the backroom
Hope its not the creature from above
You used to read me stories
As if my dreams were boring
We all know conspiracies are dumb

What if people knew that these were real
Id leave my closet door open all night
I know the CIA would say
What you hear is all hearsay
I wish someone would tell me what was right

Up all night long
And theres something very wrong
And I know it must be late
Been gone since yesterday
",89,4.044943820224719
Demon Hunter,Deteriorate,3,sad,"Time has had its way with me
My broken tired hands cant build a thing
The wires that have held me still
Embedded now in flesh define my will

The idle of my days has won
The empty I have fed has made me numb
Despite what you will find in me
The failures of my past still swell beneath

I need a heart that carries on through the pain
When the walls start collapsing again
Give me a soul that never ceases to follow
Despite the infection within

Our careless feet leaving trails
Never minding the fragile dirt we all end in
",103,4.048543689320389
Jennifer Lopez,Jenny From the Block,1,happy,"Children growing women producing
Men go work and some do stealing
Everyones got to make a living
LOX yeah
JLo yeah
Yeah yoyo
We off the blocks this year
Went from a low to a lot this year
Everybody mad at the rocks that I wear
I know where Im goin and I know where Im from
You hear LOX in your ear
Yeah were at the airport out
D Block from the block where everybody air forced out
With a new white tee you fresh nothin phony with us
Make the money get the mansion bring the homies with us
From In Livin Color movie scripts
To On the 6 to JLo to this headline clips
I stay grounded as the amounts roll in
Im real I thought I told ya
Im real
Im real even on Oprah Im real
Thats just me
Nothin phony dont hate on me
What you get is what you see oh
Dont be fooled by the rocks that I got
Im still Im still Jenny from the block
",175,3.702857142857143
OK Go,This Will Be Our Year,1,happy,"The warmth of your loves
Like the warmth from the sun
And this will be our year
Took a long time to come

Dont let go of my hand
Now darkness has gone
This will be our year
Took a long time to come

And I wont forget
The way you helped me
Up when I was down
And I wont forget
The way you said
",66,3.409090909090909
Rollins Band,Hotter And Hotter,0,angry,"Yea Im running hot
Im running hot
Im running hotter and hotter and hotter
As the years go by I cant deny the flame that burns inside me
Many times I wonder why I still act the same way
Something burning inside I get hotter and hotter

Got green lights standing in my way
Hotter and hotter hotter and hotter hotter and hotter oh Yeah I refuse I refuse
To standing around being abused
Im already gone when you turn your head
Dont point your finger of blame
You see me burning like the sun in your eyes
",98,4.091836734693878
The Pipettes,Your Kisses Are Wasted On Me,1,happy,"Your kisses are wasted on me
Your kisses are wasted on me
Your kisses are wasted on me
Your kisses are wasted on me

Boy cant you see were through
Boy I dont love you
Dont make me smile
For a while

Boy get out of my face
Boy Im going back out to chase
",55,3.5636363636363635
VIRGIN BLACK,Velvet Tongue,3,sad,"A thousand tears a thousand eyes
my friends and i we cry
religion has raped us
forever we rehearse the song
that strips our throats to blood
we bare our souls in transparency
but our velvet tongues will never
",39,4.358974358974359
Luther Vandross,Promise Me,2,relaxed,"Ooooh yeah
Ohhh oh ho

I can only speak for
The things that Ive been through
So when it comes to our love
Ill talk the whole night through
About the lovin Ive been missin
Lately baby I aint had no kissin
Dont you love me
Can we stay together
Like when we used to be in love
But now youve got
Your head on another cloud
Girl we had a good thing
But now youve turned around
Dont you even care how this love
We had turns out

Promise me youll leave me never
That well be in love forever
Oooooh
",102,3.7941176470588234
Anberlin,The Runaways,0,angry,"Come closer now
I know your desire is to be desired
Steal a kiss yet and call us friends
Distance is the thief in which you conspire

Turn and time and time will tell
Time will tell or tear us apart
Youre miles and miles and miles away
Silence reveals where we really are

You only stand to break my heart
I can tell it by the way you run away
Runaway girl
You only stand to break my heart
I can tell it by the way you run away
Runaway girl
Runaway runaway girl

Its clearer now
Youre nowhere into giving
Giving into giving into me
",107,3.94392523364486
Tom Zé,A Felicidade,2,relaxed,"Tristeza não tem fim
Felicidade sim

A felicidade é como a pluma
Que o vento vai levando pelo ar
Voa tão leve
Mas tem a vida breve
Precisa que haja vento sem parar

A felicidade do pobre parece
A grande ilusão do carnaval
A gente trabalha o ano inteiro
Por um momento de sonho
",54,4.092592592592593
Hole,Reasons To Be Beautiful,3,sad,"Love hangs herself
With the bedsheets in her cell
Threw myself on fires for you
Ten good reasons to stay alive
Ten good reasons that I cant find

Oh give me a reason to be beautiful
So sick in his body so sick in his soul
Oh give me one reason to be beautiful
Oh and everything I am

Love hates you
I live my life in ruins for you
And for all your secrets kept
I squashed the blossom and the blossoms dead

Oh give me a reason to be beautiful
So sick in his body so sick in his soul
Oh and I will make myself so beautiful
",110,3.7181818181818183
HIM,Heartache Every Moment,3,sad,"From lashes to ashes and from lust to dust
In your sweetest torment Im lost
And no heaven can help us
Ready willing and able
To lose it all
For a kiss so fatal and so warm

Its heartache every moment
From the start til the end
Its heartache every moment with you
Deeper into our heavenly suffering
Our fragile souls are falling
",63,4.190476190476191
Opeth,Blackwater Park,3,sad,"Confessor
Of the tragedies in man
Lurking in the core of us all
The last dying call for the ever lost

Brief encounters bleeding pain

Lepers coiled beneath the trees
Dying men in bewildered soliloquies
Perversions bloom round the bend
Seekers lost in their quest
Ghosts of friends frolic

Under the waning moon
",53,4.830188679245283
Sondre Lerche,Side Two,2,relaxed,"Who wants to know about these tortured souls
Side two was about the tortured young and old
Side two will show you how its meant to be
Youll see a blizzard and youll leave
Side two will show you how its meant to be

Were dying now
He helps us out
",51,3.803921568627451
Morrissey,There's A Place In Hell For Me And My Friends,3,sad,"There is a place
For me and my friends

And when we go
We all will go
Im never alone

There is a place
With a bit more time
And a few more
Gentler words

And looking back
I wont forgive
And I never will
And I never will
And I never will
",53,3.4150943396226414
At The Drive-In,Chanbara,0,angry,"Valmara Valmara Valmara
Flechettes kiss me with the lisp of your shrapnel caress

Lost this arm Lost this leg Lost this diving board
A belly flopped proposal of Lets be friends

Tour de force
Tour de force
DeFacto
Ayuchuco
Ayuchuco
Ayuchuco

Prosthetic prosthetic prosthetic
Blemish necro is the velcro on the charred appendage

Cauterize solder gun in the melting of seeds
Oh dear god what a tangled web we weave

Tour de force
Tour de force
",76,4.7631578947368425
Aerosmith,Dude (Looks Like A Lady),1,happy,"That that dude looks like a lady
That that dude looks like a lady
That that dude looks like a lady
That that dude looks like a lady

Cruised into a bar on the shore
Her picture graced the grime on the door
Shes a long lost love at first bite
Baby maybe youre wrong
But you know its all right thats right

Back stage were having the time
Of our lives until somebody says
Forgive me if I seem out of line
Then she whipped out a gun
And tried to blow me away

That that dude looks like a lady
That that dude looks like a lady
",109,3.770642201834862
Rammstein,Wo bist du,3,sad,"Ich liebe dich
Ich liebe dich nicht
Ich liebe dich nicht mehr
Ich liebe dich nicht mehr

Ich liebe dich nicht mehr
Oder weniger als du
Als du mich geliebt hast
Als du mich noch geliebt hast

Die schönen Mädchen sind nicht schön
Die warmen Hände sind so kalt
Alle Uhren bleiben stehn
",53,4.30188679245283
Weezer,Good Life,0,angry,"Yeah check me

When I look in the mirror I cant believe what I see
Tell me whos that funky dude starin back at me
Broken beaten down cant even get around
Without an old man cane I fall and hit the ground
Shivering in the cold Im bitter and alone woo

Excuse the bitchin I shouldnt complain
I should have no feeling cause feeling is pain
As everything I need is denied me
And everything I want is taken away from me
But who do I got to blame Nobody but me

And I dont wanna be an old man anymore
Its been a year or two since I was out on the floor
Shakin booty makin sweet love all the night
",123,3.7804878048780486
Mark Hollis,The Colour Of Spring,3,sad,"Forget our fate
The pedlar sings
Set up to sell my soul
Ive lived a life for wealth to bring

And yet Ill gaze
",24,3.5833333333333335
Slayer,Crypts of Eternity,0,angry,"Devious to those unknown he walks below the land
Alluring victims to their death perish to the sand
Master of the blackened arts living his decree
Thrives amongst the Seven Gates searching for the keys

I have seen the darkened depths of Hell
Sorcery beyond the witches spell
Robbed the crypts of deaths eternity
Killed the priest and cursed him endlessly

Chants of evil incantation fill the murky night
Free the devils knights of Hell unleash their growing spite
",79,4.860759493670886
Jon & Vangelis,I Hear You Now,2,relaxed,"After the first embrace from you my senses knew
The look of love was in your eyes
And after we first make love our senses tingle to the touch
Oh how we hypnotize
Ooh to get the feeling on and on
Ooh just to get the feeling

",47,3.74468085106383
Beyoncé,Crazy In Love,1,happy,"Baby
Seems like everywhere I go I see you
From your eyes your smile
Its like I breathe you
Helplessly I reminisce
Dont want to compare nobody to you

Yes
So crazy right now
Most incredibly its ya girl B
Its ya boy Young
You ready

Uhoh uhoh uhoh ohnono
Uhoh uhoh uhoh ohnono
Uhoh uhoh uhoh ohnono
Band One two three four

Yeah history in the making
Part two its so crazy right now

I look and stare so deep in your eyes
I touch on you more and more every time
When you leave Im begging you not to go
Call your name two or three times in a row
Such a funny thing for me to try to explain
How Im feeling and my pride is the one to blame
I still dont understand
Just how your love can do what no one else can

Got me looking so crazy right now
Your loves got me looking so crazy right now Sing
Got me looking so crazy right now
Your touch got me looking so crazy right now Sing
Got me hoping youll page me right now
Your kiss got me hoping youll save me right now Come on
Looking so crazy your loves got me looking
Got me looking so crazy in love
Here we go

Uhoh uhoh uhoh ohnono
Uhoh uhoh uhoh ohnono
Uhoh uhoh uhoh ohnono
Uhoh uhoh uhoh ohnono

When I talk to my friends so quietly
Who he think he is
",249,3.7951807228915664
Quiet Riot,Bang Your Head (Metal Health),0,angry,"Yeah

Well Im an axe grinder piledriver
Mama says that I never never mind her
Got no brains Im insane
The teacher says that Im one big pain

Im like a laser sixstring razor
I got a mouth like an alligator
I want it louder more power
Im gonna rock it til it strikes the hour

Bang your head
Metal health will drive you mad
Bang your head
Metal health will drive you mad

Alright
",75,3.986666666666667
Rage Against the Machine,Pistol Grip Pump,0,angry,"PistolGrip pump on my lap at all times
PistolGrip pump on my lap at all times
PistolGrip pump on my lap at all times
They can be fuckin wit other niggas shit but they cant be fuckin wit mine

PistolGrip pump on my lap at all times
PistolGrip pump on my lap at all times
PistolGrip pump on my lap at all times
They can be fuckin wit other niggas shit but they cant be fuckin wit mine

I was raised in the hood called what the diffrence
The brothers in the hood we chivalrous
So I rest defense on my ligaments
PistolGrip Pump on my lap riskin it
Full life living it never giving it back
Too late for slipping so slack up
On my lap its on your lips so track shot
A steel dick more clip for pump but
All Im saying there aint no question who the man is
In my Civic or in this showbiz
I shit a fool Kill the fool Come on what you say
",172,3.802325581395349
Delerium,Fallen Icons,2,relaxed,"In a dark woods paved with snow living all alone
I forgot long ago what Im looking for

Firecracker lightning seed coming back to me

This is how
You made my heart a hunter

I remember my little seed louder than a dream
",43,4.046511627906977
Donald Fagen,H Gang,2,relaxed,,0,0.0
The Stooges,1970 (Take 3),0,angry,"Out of my mind on Saturday night
1970 rollin in sight
Radio burnin up above
Beautiful baby feed my love
All night till I blow away
All night till I blow away
I feel alright
I feel alright
Baby oh baby burn my heart
Baby oh baby burn my heart
Fall apart babe fall apart
Baby oh baby burn my heart
All night till I blow away
All night till I blow away
I feel alright
I feel alright
Feel alright
Feel alright
Feel alright
Out of my mind on Saturday night
1970 rollin in sight
Radio burnin up above
",100,3.95
Yo La Tengo,Big Day Coming,2,relaxed,"Lets be undecided lets take our time
And sooner or later we will know our mind
Well be on the outside we wont care
Cause were together thats somewhere

And theres a big day coming about a mile away
Theres a big day coming I can hardly wait

Lets wake up the neighbors lets turn up our amps
",58,3.9655172413793105
Celtic Woman,The Blessing,2,relaxed,"In the morning when you rise
I bless the sun I bless the skies
I bless your lips I bless your eyes
My blessing goes with you

In the nighttime when you sleep
Oh I bless you while a watch I keep
As you lie in slumber deep
My blessing goes with you

This is my prayer for you
There for you ever true
Each every day for you
In everything you do
",73,3.6575342465753424
Johnny Paycheck,Take This Job and Shove It,1,happy,"Take this job and shove it
I aint workin here no more
My woman done left
And took all the reason
I was workin for

You better not try to stand in my way
As Im awalkin out the door
Take this job and shove it
I aint workin here no more

Ive been workin in this factory
For now on fifteen years
All this time I watched my woman
Drownin in a pool of tears

And Ive seen a lot of good folk die
That had a lot of bills to pay
",93,3.4838709677419355
Faith No More,Epic,0,angry,"Can you feel it see it hear it today
If you cant then it doesnt matter anyway
You will never understand it cause it happens too fast
And it feels so good its like walking on glass
Its so cool its so hip its alright
Its so groovy its outta sight
You can touch it smell it taste it so sweet
But it makes no difference cause it knocks you off your feet say

You want it all but you cant have it
Yeah yeah yeah

Its cryin bleedin lyin on the floor
So you lay down on it and you do it some more
Youve got to share it so you dare it
Then you bare it and you tear it

You want it all but you cant have it yeah yeah yeah
Its in your face but you cant grab it yeah yeah yeah

Its alive afraid a lie a sin
Its magic its tragic its a loss its a win
Its dark its moist its a bitter pain
Its sad it happened and its a shame

You want it all but you cant have it yeah yeah yeah
Its in your face but you cant grab it yeah yeah yeah

",203,3.4926108374384235
Blu Cantrell,Don't Wanna Say Goodbye,3,sad,"I can barely remember what it was that made me walk away
But something deep inside my heart
is tellin me I still love you baby
Now Im walking all alone this cold December day
I see you come to me but I cant see
Cause all I wanna do is tell you baby

How many times I
Daydreamed of what we could have been
And how many times I
Find myself asking why

Cause I will never stop lovin you
Can you tell me what I gotta do
Cause I never wanna say goodbye
Dont wanna say goodbye again
Now I know that I was meant for you
One more time I cant bear to lose
I dont ever wanna say goodbye
Dont wanna say goodbye again

We thought itd last forever but I was swept away
",138,3.7318840579710146
Jesus & Mary Chain,Blues from a Gun,0,angry,"I dont care about the state of my hair
I got something out of nothing
That just wasnt there
And your kiss kiss kiss
Is never gonna blow me away

Dreams of escape keep me awake
Im never gonna get out and make it away
Im a stone dead tripper
Dying in a fantasy

Like a cracked open sky it helps you to die
Dont split it scrape it
Youre screaming automatic pain
Too young kid youre gonna get hit
Looks like youre never gonna make it
Off the government list

I dont mind about the state of my mind
But you know its good for nothing
And I left you behind
",112,3.8839285714285716
The Jets,Make It Real,3,sad,"Tonight its been a year
We met each other here
Here I am all alone
As thoughts of you go on

Hear me cryin out to you
You said Never never would I leave
Heres a tear from me to you
And maybe it will make you hear me

I loved you
You didnt feel the same
Though were apart
",60,3.4833333333333334
The Cure,Out Of This World,3,sad,"When we look back at it all
As I know we will
You and me wideeyed
I wonder will we really remember
How it feels to be this alive

And I know we have to go I realise
We only get to stay so long
We always have to go back to real lives
Where we belong
Where we belong
Where we belong

When we think back to all this
And Im sure we will
Me and you here and now
",81,3.382716049382716
Psapp,The Words,1,happy,"Oh
Do you remember
All the seconds
You are awake
Yes
We take a lantern
And we go back
To your place
Oh
I wont abandon
My foolish notion
Its too much fun
Though
You say its all right
You do not ask me what Ive done

Are we
To make an effort
How might I weave it 
And count each one
I know
Cos I can do it
And when Ive done it
I will have won
Why
Cant I abandon
",82,3.3658536585365852
Cansei de Ser Sexy,Move,1,happy,"Get up get up get up get up
You gotta keep on moving
Get up get up get up get up
You gotta keep on moving
Get up get up get up get up
You gotta keep on moving
Get up get up get up get up
You gotta keep on moving

If I put you on backwards straight to the dance floor
Will you still be waiting for me Will you still be my friend
I dont wanna bug you out with crazy crazy ideas
For I know this aint a good place for us to talk

You better get your move on oh oh oh
Or all the good ones will have gone
You better get your move on oh oh oh
Or all the good ones will have gone
You better get your move on

Get up get up get up get up
You gotta keep on moving
Get up get up get up get up
You gotta keep on moving
Get up get up get up get up
You gotta keep on moving
Get up get up get up get up
You gotta keep on moving

",190,3.263157894736842
Seu Jorge,Rebel Rebel,2,relaxed,"Você não sabe se vai ou vem
Pouco me importa se o dinheiro é seu
Ei baby esse cabelo é legal
Moda na gringa é feliz natal

Sei que invocou mas ficou tudo bem
Agora diz estar na onda zen
Ei baby
Você venceu
Passe amanhã e pegue o que é seu

A maquiagem vai desmanchar
Para o seu medo aparecer
Zero a zero
",64,3.71875
Flight of the Conchords,Inner City Pressure,1,happy,"Inner city life inner city pressure
The concrete world is starting to get ya
The city is alive the city is expanding
Living in the city can be demanding
Youve pawned everything everything you own
Your toothbrush jar and a camera phone
You dont know where youre going
You cross the street
You dont know why you did
You walk back across the street
Standing in the sitting room totally skint
And your favorite jersey is covered in lint
You want to sit down but you sold your chair
So you just stand there
You just stand there
You just stand there

Inner
Inner city
Inner city pressure
Inner city pressure

Counting coins on the counter of the 7Eleven
From a quarter past six till a quarter to seven
The manager Bevan starts to abuse me
Hey man I just want some Muesli
Neon signs hidden messages
",147,4.374149659863946
Air,The Vagabond,2,relaxed,"Golden waves in all directions
I could lose my soul right here
Color lights on the runway
Makes a stranger feel unchained

Im running after time and I miss the sunshine
Summer days will come happiness will be mine
Im lost in my words I dont know where Im going
I do the best I can not to worry about things

I feel loose I feel haggard
Dont know what Im looking for
Something true something lovely
That will make me feel alive

",83,4.120481927710843
Reel Big Fish,Your Guts (I Hate 'Em),0,angry,"I wrote this song about you
I wrote this song about you
Just to let you know that I hate your guts
And I think you suck
I wrote this song about you
I wrote this song about you
Just to let you know that I hate your guts
And I think you suck

I hate the way you look
",60,3.4
Limp Bizkit,The Story,0,angry,"Just live and let die

Check check check come on

If you could take a minute of your life
That certain minute when you feel the lightning strike
To each his own on the level of that moment
But its your moment and you know youll fucking own it

Glorified and embraced by your victory
When youre done you escape with that memory
Blindfolded through this life as we learn
And consequences when the wrong page is turned

Its an E True Hollywood Story
Take a man down with his own glory
Now guess whos next

At some point we come down from the highs
And so be it we move on with our lives
Cause some of us let the laughs cover cries
Do the math you can laugh when I die

If life is just a fantasy then could you
Live this fantasy life If so then would you
",151,3.933774834437086
Hüsker Dü,Hardly Getting Over It,3,sad,"Twenty years ago
Saw a friend was walking by
And I stopped him on the street to ask him
How it went and all he did was cry

And I looked him in the face
But I couldnt see past his eyes
I asked him what the problem was
He says heres your disguise

Now hes hardly getting over it
Hes hardly getting used to getting by
Now hes hardly getting over it
Hes hardly getting used to getting by by

Old man lays
Down by the railroad tracks
Got no paper on his pocket
Got no paper on his back
",101,3.742574257425743
Willie Nelson,Sad Songs And Waltzes,3,sad,"Im writing a song all about you
A true song as real as my tears
But youve no need to fear it
Cause no one will hear it
Cause sad songs and waltzes
Arent selling this year

Ill tell all about how you cheated
Id like for the whole world to hear
Id like to get even with you cause youre leavin
",62,3.6774193548387095
Split Enz,I Got You,0,angry,"I got you
And thats all I want
I wont forget
Thats a whole lot
I dont go out
Not now that youre in
Sometimes we shout
But thats no problem

I dont know why sometimes I get frightened
You can see my eyes you can tell that Im not lying

Look at you
",54,3.537037037037037
Don Omar,Salio El Sol,1,happy,"Platinum studio
Respect
Don Don Don Don Don Don

Salió el sol
Cuerpo bronceado y sus amigas buscaban acción All the sexy
La canción All my sexy ladies
Que cause en ella y sus cuerpos esa sensación Wow reggaetón
Reggaetón
Piden reggaetón
Del de Don Pon de River pon de River pon de River
Sienta la presión Pon de bank pon de bank pon de bank

Y la baila hasta sola
Como grande mueve la cola
La ve en pique y la vuela con rola
Dale sin miedo rompe la consola
La pistola chambonea Duro
Ella lo vuelve loco cómo se menea
Bailando pura candela
Lo vuelve loco cuando se acelera y pela

Y yo quiero saber cómo es que baila la Julieta
Y yo quiero saber cómo es que baila la Julieta
Julieta baila sexy con la mano en la cabeza You sexy Julieta
Julieta baila sexy con la mano en la cabeza

Salió el sol Top top
Cuerpo bronceado y sus amigas buscaban acción Aquí hay acción
La canción
Que cause en ella y sus cuerpos esa sensación
Reggaetón
Piden reggaetón
",183,4.147540983606557
Norah Jones,The Long Way Home,2,relaxed,"Well I stumbled in the darkness
Im lost and alone
Though I said Id go before us
And show the way back home

Is there a light up ahead
I cant hold on very long
Forgive me pretty baby
But I always take the long way home

Moneys just something you throw
Off the back of a train
I got a handful of lightening
And head full of rain

",69,3.710144927536232
At The Drive-In,Cosmonaut,0,angry,"We sample from the shelves
Tore a page out of this chapter
Deface the essays in the book that youre reading
We are the leaches that stop the bleeding

Deficit attention program
By any means necessary
Blare sirens to the library
Whisper instructions to the bookwormed glossary

Is it heavier than air  tell us is the black box lying
Is it heavier than air  tell us is the black box lying

Aeronautics hacked
The spine of paragraphs
Prepare to indent a coma that read
",84,4.488095238095238
Augie March,There Is No Such Place,2,relaxed,"There is no such place
Oh yes I have seen it too
Just a little different from how you do
A river winding blue among the dunes
And a marble bed
And a sun that doesnt set but settles

There is no such place
If I lower mine to yours
Might you kiss me on the face
If youre looking for an unmarked place
There is no such place
Blasted in appearance
And a composite of fearful minutes
Frozen in the waking instant
",83,3.9036144578313254
Yeah Yeah Yeahs,Black Tongue,1,happy,"Hot

You can keep your black tongue
Well I found at the mortuary
You know Im gonna want some want some
Well hide in the backroom gonna have a packed suit
With this you will regret
Just let it be your yeah yeah yeah

Sunny kept his rain on red tape so ordinary
Love I feel like it was gone gone gone gone
",63,3.7936507936507935
Hatebreed,A Call For Blood,0,angry,"Your reign of terror is coming to an end
And all your victims pain will be avenged
Taker of innocence I want your demise
Tear you apart for the unspeakable things you tried to hide

I fucking hate you
Every bone in my body will ache
Till I destroy everything you love
And fill your life with their pain

Ten long fucking years
I waited to erase all the memories
And you cant fucking stop me
My vengeance is finally born
Ten long fucking years
Your reign of terror is coming to an end
And I have no mercy for your soul
Your blood is on my hands
",108,4.018518518518518
Cursive,Art Is Hard,0,angry,"Cut it out
Your selfinflicted pain
Is getting too routine
The crowds are catching on
To the selfinflicted song
Well here we go again
The art of acting weak
Fall in love to fail
To boost your CD sales
And that CD sells
Yeah what a hit
Youve got to repeat it
You gotta sink to swim

First you dont you dont succeed
You gotta recreate your misery
Cause we all know art is hard
",75,3.973333333333333
The String Cheese Incident,Sometimes a River,2,relaxed,"I was cleaning the ash from the fire
and putting the party away
helping out all of my lost friends
to see the light of day

I was feeling the wind through the windows
Sometimes it crashed through the wall
seems like it comes out of nowhere
theres no warning at all

chorus
sometimes a river
sometimes a river
runs dry
",61,4.180327868852459
Lisa Ekdahl,Only You,2,relaxed,"Only you
Can make me feel
The world can disappear

Only you
Make my heart heal
And make it oh so clear
",22,3.6363636363636362
Athlete,Flying Over Bus Stops,2,relaxed,"I belong with your arms wrapped around my neck
Your lips glistening in the light
Ive seen headlights passing by
Hold the thought
I hold the thought
Walking back towards your house
Rain drops bouncing off the leaves
Down to our September kiss

Flying over bus stops and playgrounds
Im here soaked right to the core
Ill stay here forever
Im safe with you

",64,4.5
Duke Ellington,Satin Doll,2,relaxed,,0,0.0
Anthrax,C11 H17 N2 O2 S Na,0,angry,"If one day youd backed up a promise you made
Wed have to make it a holiday
Cause we both know that day would never come again
And if one day your word was as good as gold
And itd be too late cause Id be too old
I dont think a human being could live that long

Yeah I never gave a damn I was never even a fan
The only thing that makes me smile is your pain
I dont even care when did you treat anyone fair
To say Im not enjoying this would be insane

Sodium Pentathol was an idea I had
What does the truth mean now
To all the lost souls youve grabbed
A mass delusion theres no confusion
Just a hypocrite whod never cop to it

Youre in total control and youre still a liar
I cant drink from the cup
I question your authority
You gotta fess up
",156,3.7243589743589745
Rick Braun,Walk On The Wild Side,2,relaxed,"Holly came from Miami FLA
Hitchhiked her way across the USA
Plucked her eyebrows on the way
Shaved her legs and then he was a she
She says Hey babe
Take a walk on the wild side
Hey honey
Take a walk on the wild side

Candy came from out on the Island
In the backroom she was everybodys darlin
But she never lost her head
Even when she was giving head
She says Hey babe
Take a walk on the wild side
I Said Hey baby
",87,3.7471264367816093
Children of Bodom,Downfall,0,angry,"The night of timeless fire is drawing near
I flee
Throughout the years of throe
Watching through a mirror as I fall apart
I see a wreck Im burning Im burning

I see angels burning falling down in ruins
Looking down I see me Im my own enemy
",48,3.9791666666666665
